기업명,기업코드,공시신용등급,감성지수,ESG등급,환경,사회,지배구조,GMM_Cluster
대원전선,6340,BB+,0.53068383,D,C,D,D,1
대원제약,3220,BBB+,0.213686996,B+,B+,A,B+,2
대원화성,24890,BBB,0.914882355,D,C,D,D,1
대주전자재료,78600,AA-,0.460130533,B+,B,A,B,2
대창,12800,A+,0.966958467,D,C,D,D,1
대창단조,15230,AA,0.703244355,C,C,D,C,1
대한방직,1070,BBB,0.983155561,C,C,D,C,1
대한유화,6650,BBB-,0.844435729,B+,B+,B+,B,2
대한전선,1440,AA,0.509146982,A,A,A+,B+,3
대한제강,84010,A+,0.584852696,C,C,C,C,1
대한제당,1790,B,0.987756186,C,C,D,C,1
대한제분,1130,AA-,0.582309656,C,C,C,C,1
대한항공,3490,AA,0.754028281,B+,B+,A,B+,2
대한해운,5880,A-,0.733071513,D,C,D,D,1
대한화섬,3830,A+,0.643591189,B+,B,A,B+,2
대현,16090,AA,0.983254977,C,D,D,B+,1
대호에이엘,69460,AA-,0.865379401,D,C,C,D,1
더네이쳐홀딩스,298540,A+,0.992420482,D,D,D,D,1
더블유게임즈,192080,BBB+,0.998317887,C,D,D,B+,1
더블유씨피,393890,BB,0.228949853,D,C,C,D,1
더존비즈온,12510,A+,0.617541222,C,C,D,C,1
덕산네오룩스,213420,AA-,0.916823876,D,C,D,D,1
덕성,4830,A,0.999864459,C,C,D,C,1
데브시스터즈,194480,A,0.491998961,C,D,D,B,1
덴티움,145720,AA,0.971140435,D,D,D,D,1
도화엔지니어링,2150,AA-,0.726182527,C,C,C,B,1
동국제약,86450,BBB-,0.948196539,C,B+,A,D,1
동국홀딩스,1230,BBB+,0.604039885,A,B+,A+,B+,3
동남합성,23450,BBB-,0.872336204,D,D,D,C,1
동방,4140,BB+,-0.126824554,C,B,B,C,1
동방아그로,7590,BBB,0.84332484,C,D,D,B,1
동부건설,5960,A,0.89040467,B+,B+,B+,B,2
동서,26960,BBB+,0.842970154,C,C,C,C,1
동성제약,2210,BB+,0.251780653,D,D,D,D,1
동성케미컬,102260,AA-,0.756325556,A,A,A+,A,3
동아쏘시오홀딩스,640,AA,-0.029154414,A+,A,A+,A+,4
동아에스티,170900,AA-,0.981087291,A,A,A+,A,3
동아지질,28100,A-,0.880039441,D,C,C,D,1
동아타이어,282690,A-,0.249469415,D,D,D,D,1
동양,1520,A-,0.928624785,C,B,B,C,1
동양고속,84670,BBB,0.306781517,D,C,D,D,1
동양생명,82640,AA-,0.969709131,B+,C,B+,B+,2
동양철관,8970,BBB-,0.257049675,D,C,D,D,1
동양피스톤,92780,A,0.638740756,C,C,C,C,1
동원F&B,49770,BBB,0.396176616,B,A,A,C,2
동원금속,18500,BBB,0.836083374,C,B,D,B,1
동원산업,6040,AA,0.990112404,B,A,A,C,2
동원수산,30720,BBB,0.674004523,D,D,D,D,1
동원시스템즈,14820,AA-,0.979443765,B+,B+,A+,B,2
동일고무벨트,163560,BBB+,0.944095363,B+,B+,A,B+,2
동일산업,4890,A,0.988712112,C,C,D,B+,1
동일제강,2690,AA,0.68437305,D,C,D,D,1
동진쎄미켐,5290,BB-,0.99214905,B,A,A,C,2
동화기업,25900,BBB+,0.967407016,D,D,C,D,1
동화약품,20,A+,0.779717205,C,B,B,C,1
두산,150,A-,0.999608582,A,A,A+,B+,3
두산밥캣,241560,A-,0.970384776,A,B+,A,A,3
두산에너빌리티,34020,BBB+,0.479144221,B+,A,A,B,2
두산테스나,131970,A,0.299352482,B+,B+,A,B+,2
두산퓨얼셀,336260,AA,0.477147195,A,A,A+,B+,3
두올,16740,AA-,0.008894103,D,D,C,C,1
드림어스컴퍼니,60570,A-,0.985098223,C,C,C,C,1
드림텍,192650,BB,0.71622321,C,C,D,B,1
디씨엠,24090,BB+,0.856506662,C,D,D,B+,1
디아이,3160,B+,0.807451836,D,C,C,D,1
디아이동일,1530,A-,0.9853577,D,D,D,C,1
디아이씨,92200,BBB,0.909510097,C,C,B,D,1
디어유,376300,A+,0.966260725,D,D,D,D,1
디와이,13570,BB+,0.997660995,C,D,D,B,1
디와이덕양,24900,A-,0.960014428,D,D,D,D,1
디와이파워,210540,A-,0.557800593,C,C,D,B+,1
락앤락,115390,BBB+,0.971369769,B+,A,A,B,2
레이크머티리얼즈,281740,A,0.591502104,C,C,D,C,1
레인보우로보틱스,277810,A+,0.729261049,D,D,D,D,1
로보스타,90360,BB-,0.811715069,D,D,D,C,1
롯데관광개발,32350,BBB-,0.978918317,D,D,D,D,1
롯데렌탈,89860,A-,0.583898539,A,A,A,A,3
롯데손해보험,400,BBB,0.633854427,B+,C,A,B+,2
롯데쇼핑,23530,AA,0.659863651,A,A,A+,A,3
롯데에너지머티리얼즈,20150,A,0.949054651,C,B,B+,C,1
롯데웰푸드,280360,AA-,0.974621027,A,A,A,A,3
롯데이노베이트,286940,BBB+,0.748570959,A,A,A+,A,3
롯데정밀화학,4000,AA-,0.773390479,A,A,A+,A,3
롯데지주,4990,BBB-,0.967896599,A,A,A+,A,3
롯데칠성음료,5300,A+,0.963748649,A,A+,A+,B+,3
롯데케미칼,11170,BBB-,0.823166468,A,A,A+,B+,3
롯데하이마트,71840,A+,-0.107057981,A,A,A+,A,3
루닛,328130,AA,0.473143929,B,C,B+,B,2
리가켐바이오,141080,A-,0.933948957,B+,B,A,B,2
리노공업,58470,BBB,0.738548558,D,C,D,D,1
리튬포어스,73570,AA,0.796675173,D,D,D,D,1
마니커,27740,AA,0.962123952,D,D,D,C,1
만호제강,1080,AA,0.65744142,D,C,D,D,1
매일유업,267980,A+,0.98703723,A,A,A+,A,3
멀티캠퍼스,67280,AA,0.872753614,D,D,D,C,1
메가스터디교육,215200,A,0.517514585,D,D,D,D,1
메디톡스,86900,AA-,0.860496537,B,B+,B+,C,2
메리츠금융지주,138040,A+,0.266001315,A,A,A,A,3
메이슨캐피탈,21880,AA,0.816116635,D,D,D,D,1
메지온,140410,A-,0.92420922,D,D,D,D,1
메타랩스,90370,AA,0.966563277,D,D,D,D,1
메타케어,118000,BBB-,0.649352774,D,D,D,D,1
